ENTE;COD_CIVICO;COMUNE;INDIRIZZO;INIDIRIZZO FORMATTATO;CAP;COORDINATA_X;COORDINATA_Y;SEDIME;NOME VIA;PRIMARIO;SECONDARIO;INTERNO;SCALA
Comune di Torino;153712;Torino;CORSO ENRICO TAZZOLI 235 int. 8 int. 10/B;CORSO ENRICO TAZZOLI 235 int. 8 int. 10/B, 10137 Torino;10137;7.6147894204;45.036599453;CORSO;ENRICO TAZZOLI;235;;8 int. 10/B;
Comune di Torino;153711;Torino;CORSO ENRICO TAZZOLI 235 int. 8 int. 16/C;CORSO ENRICO TAZZOLI 235 int. 8 int. 16/C, 10137 Torino;10137;7.6137085;45.0369373601;CORSO;ENRICO TAZZOLI;235;;8 int. 16/C;
Comune di Torino;151973;Torino;CORSO GIULIO CESARE 424 int. 51 int. 26/A;CORSO GIULIO CESARE 424 int. 51 int. 26/A, 10156 Torino;10156;7.7157144758;45.1166103745;CORSO;GIULIO CESARE;424;;51 int. 26/A;
Comune di Torino;151975;Torino;CORSO GIULIO CESARE 424 int. 51 int. 33/A;CORSO GIULIO CESARE 424 int. 51 int. 33/A, 10156 Torino;10156;7.7146219263;45.1180621972;CORSO;GIULIO CESARE;424;;51 int. 33/A;
Comune di Torino;151974;Torino;CORSO GIULIO CESARE 424 int. 51 int. 41/A;CORSO GIULIO CESARE 424 int. 51 int. 41/A, 10156 Torino;10156;7.7143774941;45.1184284573;CORSO;GIULIO CESARE;424;;51 int. 41/A;
Comune di Torino;152829;Torino;CORSO GROSSETO 366 int. 16 int. 4/A;CORSO GROSSETO 366 int. 16 int. 4/A, 10151 Torino;10151;7.6465970266;45.1071890394;CORSO;GROSSETO;366;;16 int. 4/A;
Comune di Torino;87500;Torino;VIA MALTA 36 int. 10 bis;VIA MALTA 36 int. 10 bis, 10141 Torino;10141;7.6454234233;45.0573456284;VIA;MALTA;36;;10 bis;
Comune di Torino;137410;Torino;VIA VENARIA 85 int. 10 bis;VIA VENARIA 85 int. 10 bis, 10148 Torino;10148;7.6574844457;45.1101351955;VIA;VENARIA;85;;10 bis;
Comune di Torino;153740;Torino;VIA SOMALIA 116 int. 20 bis;VIA SOMALIA 116 int. 20 bis, 10127 Torino;10127;7.6539149284;45.0087811868;VIA;SOMALIA;116;;20 bis;
Comune di Torino;101676;Torino;VIA SALBERTRAND 57 int. 20 bis;VIA SALBERTRAND 57 int. 20 bis, 10146 Torino;10146;7.6353460149;45.0806736438;VIA;SALBERTRAND;57;;20 bis;
Comune di Torino;57614;Torino;STRADA DEL PAVARINO 8 int. 10 bis;STRADA DEL PAVARINO 8 int. 10 bis, 10132 Torino;10132;7.737701026;45.0631727422;STRADA;DEL PAVARINO;8;;10 bis;
Comune di Torino;127422;Torino;LUNGO DORA PIETRO COLLETTA 113 int. 10 bis;LUNGO DORA PIETRO COLLETTA 113 int. 10 bis, 10153 Torino;10153;7.7138114955;45.0762061061;LUNGO;DORA PIETRO COLLETTA;113;;10 bis;
Comune di Torino;66201;Torino;VIA GUGLIELMO REISS ROMOLI 122 int. 30 bis;VIA GUGLIELMO REISS ROMOLI 122 int. 30 bis, 10148 Torino;10148;7.6874347685;45.113392284;VIA;GUGLIELMO REISS ROMOLI;122;;30 bis;
Comune di Torino;136838;Torino;CORSO FRANCIA 333 int. 10/A;CORSO FRANCIA 333 int. 10/A, 10142 Torino;10142;7.614367626;45.0733793607;CORSO;FRANCIA;333;;10/A;
Comune di Torino;126734;Torino;CORSO GIULIO CESARE 338 int. 50/A;CORSO GIULIO CESARE 338 int. 50/A, 10154 Torino;10154;7.7058646873;45.1057561081;CORSO;GIULIO CESARE;338;;50/A;
Comune di Torino;138438;Torino;CORSO FRANCESCO FERRUCCI 77 int. 10/A;CORSO FRANCESCO FERRUCCI 77 int. 10/A, 10138 Torino;10138;7.6560051062;45.0678006394;CORSO;FRANCESCO FERRUCCI;77;;10/A;
Comune di Torino;151025;Torino;CORSO FILIPPO BRUNELLESCHI 7 int. 10/A;CORSO FILIPPO BRUNELLESCHI 7 int. 10/A, 10141 Torino;10141;7.624474505;45.0733394006;CORSO;FILIPPO BRUNELLESCHI;7;;10/A;
Comune di Torino;136839;Torino;CORSO FRANCIA 333 int. 10/B;CORSO FRANCIA 333 int. 10/B, 10142 Torino;10142;7.614372979;45.0733065829;CORSO;FRANCIA;333;;10/B;
Comune di Torino;126735;Torino;CORSO GIULIO CESARE 338 int. 50/B;CORSO GIULIO CESARE 338 int. 50/B, 10154 Torino;10154;7.7057892991;45.1056406799;CORSO;GIULIO CESARE;338;;50/B;
Comune di Torino;150464;Torino;CORSO ENRICO TAZZOLI 228 int. 10/B;CORSO ENRICO TAZZOLI 228 int. 10/B, 10137 Torino;10137;7.6144811112;45.0386102135;CORSO;ENRICO TAZZOLI;228;;10/B;
Comune di Torino;126736;Torino;CORSO GIULIO CESARE 338 int. 50/C;CORSO GIULIO CESARE 338 int. 50/C, 10154 Torino;10154;7.7057126094;45.1055232386;CORSO;GIULIO CESARE;338;;50/C;
Comune di Torino;151707;Torino;CORSO CARLO E NELLO ROSSELLI 99 int. 20/C;CORSO CARLO E NELLO ROSSELLI 99 int. 20/C, 10129 Torino;10129;7.6529586886;45.0524931806;CORSO;CARLO E NELLO ROSSELLI;99;;20/C;
Comune di Torino;126737;Torino;CORSO GIULIO CESARE 338 int. 50/D;CORSO GIULIO CESARE 338 int. 50/D, 10154 Torino;10154;7.7056451466;45.1054199354;CORSO;GIULIO CESARE;338;;50/D;
Comune di Torino;123092;Torino;VIA VALENZA 49 int. 1 bis;VIA VALENZA 49 int. 1 bis, 10127 Torino;10127;7.6654768256;45.0250790537;VIA;VALENZA;49;;1 bis;
Comune di Torino;52105;Torino;STRADA LANZO 147 int. 1 bis;STRADA LANZO 147 int. 1 bis, 10148 Torino;10148;7.6574565057;45.11599662;STRADA;LANZO;147;;1 bis;
Comune di Torino;106153;Torino;VIA SOMALIA 108 int. 21 bis;VIA SOMALIA 108 int. 21 bis, 10127 Torino;10127;7.6532752671;45.0092419921;VIA;SOMALIA;108;;21 bis;
Comune di Torino;122992;Torino;PIAZZA FABIO FILZI 2 int. 1 bis;PIAZZA FABIO FILZI 2 int. 1 bis, 10126 Torino;10126;7.666114502;45.0276292378;PIAZZA;FABIO FILZI;2;;1 bis;
Comune di Torino;66980;Torino;VIA GIOVANNI RIBET 8 int. 1 bis;VIA GIOVANNI RIBET 8 int. 1 bis, 10125 Torino;10125;7.6751877272;45.0552946834;VIA;GIOVANNI RIBET;8;;1 bis;
Comune di Torino;124059;Torino;VIA ANTONIO CECCHI 30 int. 1 bis;VIA ANTONIO CECCHI 30 int. 1 bis, 10152 Torino;10152;7.6821869279;45.0863313421;VIA;ANTONIO CECCHI;30;;1 bis;
Comune di Torino;8740;Torino;VIA ANTONIO CECCHI 63 int. 1 bis;VIA ANTONIO CECCHI 63 int. 1 bis, 10152 Torino;10152;7.6784326757;45.0885853282;VIA;ANTONIO CECCHI;63;;1 bis;
Comune di Torino;10362;Torino;VIA DAMIANO CHIESA 43 int. 31 bis;VIA DAMIANO CHIESA 43 int. 31 bis, 10156 Torino;10156;7.7282912659;45.1027719875;VIA;DAMIANO CHIESA;43;;31 bis;
Comune di Torino;61954;Torino;VIA NICOLA PORPORA 39 int. 11 bis;VIA NICOLA PORPORA 39 int. 11 bis, 10155 Torino;10155;7.6980883109;45.1006037958;VIA;NICOLA PORPORA;39;;11 bis;
Comune di Torino;153282;Torino;CORSO GIOVANNI LANZA 27 int. 1 bis;CORSO GIOVANNI LANZA 27 int. 1 bis, 10131 Torino;10131;7.7015985239;45.0592397463;CORSO;GIOVANNI LANZA;27;;1 bis;
Comune di Torino;30091;Torino;VIA GARRONE FRATELLI 61 int. 61 bis;VIA GARRONE FRATELLI 61 int. 61 bis, 10127 Torino;10127;7.651967608;45.0118480261;VIA;GARRONE FRATELLI;61;;61 bis;
Comune di Torino;24441;Torino;STRADA DEGLI ALBERONI 18 int. 21 bis;STRADA DEGLI ALBERONI 18 int. 21 bis, 10133 Torino;10133;7.6831335463;45.0326826456;STRADA;DEGLI ALBERONI;18;;21 bis;
Comune di Torino;7245;Torino;STRADA DEL CASCINOTTO 139 int. 41 bis;STRADA DEL CASCINOTTO 139 int. 41 bis, 10156 Torino;10156;7.7415311981;45.1081115393;STRADA;DEL CASCINOTTO;139;;41 bis;
